2016-03-08 15:29:14.395 MESSAGE --- [              Logger].[               Setup] Ready to accept and digest messages.
2016-03-08 15:29:14.476   DEBUG --- [...figurationBuilder].[...entProcessControl] Changing Process View
2016-03-08 15:29:14.476   DEBUG --- [...figurationBuilder].[...entProcessControl]     From: DEFAULT NAME
2016-03-08 15:29:14.476   DEBUG --- [...figurationBuilder].[...entProcessControl]     To:   Directory Select
2016-03-08 15:29:20.874 MESSAGE --- [...l_DirectorySelect].[...TTDirectory_Click] User selected directory: C:\Users\atschaff\ICARTT Data\TEXAS_2013\P3B_AIRCRAFT
2016-03-08 15:29:21.794   DEBUG --- [...figurationBuilder].[...entProcessControl] Changing Process View
2016-03-08 15:29:21.794   DEBUG --- [...figurationBuilder].[...entProcessControl]     From: Directory Select
2016-03-08 15:29:21.794   DEBUG --- [...figurationBuilder].[...entProcessControl]     To:   File Name Filters
2016-03-08 15:29:21.825 MESSAGE --- [  ICARTT_FileManager].[...CARTTFilesFromDir] Searched for ICARTT files
2016-03-08 15:29:21.825 MESSAGE --- [  ICARTT_FileManager].[...CARTTFilesFromDir]     Directory: C:\Users\atschaff\ICARTT Data\TEXAS_2013\P3B_AIRCRAFT
2016-03-08 15:29:21.825 MESSAGE --- [  ICARTT_FileManager].[...CARTTFilesFromDir]     Number of ICARTT Files Found: 188
2016-03-08 15:29:24.672   DEBUG --- [...figurationBuilder].[...entProcessControl] Changing Process View
2016-03-08 15:29:24.672   DEBUG --- [...figurationBuilder].[...entProcessControl]     From: File Name Filters
2016-03-08 15:29:24.672   DEBUG --- [...figurationBuilder].[...entProcessControl]     To:   File Select
2016-03-08 15:29:24.750 MESSAGE --- [  ICARTT_FileManager].[             LoadAll] Loading: C:\Users\atschaff\ICARTT Data\TEXAS_2013\P3B_AIRCRAFT\ANDERSON.BRUCE\DISCOVERAQ-LARGE-APS_P3B_20130904_R0.ict
2016-03-08 15:29:24.750 MESSAGE --- [  ICARTT_FileManager].[             LoadAll] Loading: C:\Users\atschaff\ICARTT Data\TEXAS_2013\P3B_AIRCRAFT\ANDERSON.BRUCE\DISCOVERAQ-LARGE-APS_P3B_20130906_R0.ict
2016-03-08 15:29:24.750 MESSAGE --- [  ICARTT_FileManager].[             LoadAll] Loading: C:\Users\atschaff\ICARTT Data\TEXAS_2013\P3B_AIRCRAFT\ANDERSON.BRUCE\DISCOVERAQ-LARGE-APS_P3B_20130911_R0.ict
2016-03-08 15:29:24.750 MESSAGE --- [  ICARTT_FileManager].[             LoadAll] Loading: C:\Users\atschaff\ICARTT Data\TEXAS_2013\P3B_AIRCRAFT\ANDERSON.BRUCE\DISCOVERAQ-LARGE-APS_P3B_20130912_R0.ict
2016-03-08 15:29:24.750 MESSAGE --- [  ICARTT_FileManager].[             LoadAll] Loading: C:\Users\atschaff\ICARTT Data\TEXAS_2013\P3B_AIRCRAFT\ANDERSON.BRUCE\DISCOVERAQ-LARGE-APS_P3B_20130913_R0.ict
2016-03-08 15:29:24.750 MESSAGE --- [  ICARTT_FileManager].[             LoadAll] Loading: C:\Users\atschaff\ICARTT Data\TEXAS_2013\P3B_AIRCRAFT\ANDERSON.BRUCE\DISCOVERAQ-LARGE-APS_P3B_20130914_R0.ict
2016-03-08 15:29:24.750 MESSAGE --- [  ICARTT_FileManager].[             LoadAll] Loading: C:\Users\atschaff\ICARTT Data\TEXAS_2013\P3B_AIRCRAFT\ANDERSON.BRUCE\DISCOVERAQ-LARGE-APS_P3B_20130924_R0.ict
2016-03-08 15:29:24.750 MESSAGE --- [  ICARTT_FileManager].[             LoadAll] Loading: C:\Users\atschaff\ICARTT Data\TEXAS_2013\P3B_AIRCRAFT\ANDERSON.BRUCE\DISCOVERAQ-LARGE-APS_P3B_20130925_R0.ict
2016-03-08 15:29:24.750 MESSAGE --- [  ICARTT_FileManager].[             LoadAll] Loading: C:\Users\atschaff\ICARTT Data\TEXAS_2013\P3B_AIRCRAFT\ANDERSON.BRUCE\DISCOVERAQ-LARGE-APS_P3B_20130926_R0.ict
2016-03-08 15:29:24.750 MESSAGE --- [  ICARTT_FileManager].[             LoadAll] Loading: C:\Users\atschaff\ICARTT Data\TEXAS_2013\P3B_AIRCRAFT\ANDERSON.BRUCE\DISCOVERAQ-LARGE-APS_P3B_20130929_R0.ict
2016-03-08 15:29:24.750 MESSAGE --- [  ICARTT_FileManager].[             LoadAll] Loading: C:\Users\atschaff\ICARTT Data\TEXAS_2013\P3B_AIRCRAFT\ANDERSON.BRUCE\DISCOVERAQ-LARGE-CCN_P3B_20130904_R1.ict
2016-03-08 15:29:24.766 MESSAGE --- [  ICARTT_FileManager].[             LoadAll] Loading: C:\Users\atschaff\ICARTT Data\TEXAS_2013\P3B_AIRCRAFT\ANDERSON.BRUCE\DISCOVERAQ-LARGE-CCN_P3B_20130906_R1.ict
2016-03-08 15:29:24.766 MESSAGE --- [  ICARTT_FileManager].[             LoadAll] Loading: C:\Users\atschaff\ICARTT Data\TEXAS_2013\P3B_AIRCRAFT\ANDERSON.BRUCE\DISCOVERAQ-LARGE-CCN_P3B_20130911_R1.ict
2016-03-08 15:29:24.766 MESSAGE --- [  ICARTT_FileManager].[             LoadAll] Loading: C:\Users\atschaff\ICARTT Data\TEXAS_2013\P3B_AIRCRAFT\ANDERSON.BRUCE\DISCOVERAQ-LARGE-CCN_P3B_20130912_R1.ict
2016-03-08 15:29:24.766 MESSAGE --- [  ICARTT_FileManager].[             LoadAll] Loading: C:\Users\atschaff\ICARTT Data\TEXAS_2013\P3B_AIRCRAFT\ANDERSON.BRUCE\DISCOVERAQ-LARGE-CCN_P3B_20130913_R1.ict
2016-03-08 15:29:24.766 MESSAGE --- [  ICARTT_FileManager].[             LoadAll] Loading: C:\Users\atschaff\ICARTT Data\TEXAS_2013\P3B_AIRCRAFT\ANDERSON.BRUCE\DISCOVERAQ-LARGE-CCN_P3B_20130914_R1.ict
2016-03-08 15:29:24.766 MESSAGE --- [  ICARTT_FileManager].[             LoadAll] Loading: C:\Users\atschaff\ICARTT Data\TEXAS_2013\P3B_AIRCRAFT\ANDERSON.BRUCE\DISCOVERAQ-LARGE-CCN_P3B_20130924_R1.ict
